subjID,nll_full,rho_full,lambda_full,mu_full,rho_se,lambda_se,mu_se,nll_restricted,rho_restricted,mu_restricted,LR_D,LR_p,AIC_full,AIC_restricted,BIC_full,BIC_restricted,isdifffrom1,LAtype
1,52.82629276,1.425287926,1.252821468,37.74804079,0.149981575,0.183735065,7.889451568,53.7780126,1.435047561,35.39712603,0.95171984,0.329281913,111.6525855,111.5560252,120.3684099,117.3665748,0,GLN_Neutral
6,47.74949848,1.275205952,2.22044604925031e-16,25.26582197,0.132257651,0.292557827,5.597995352,64.08300851,1.384406382,21.05436952,16.33351003,5.31163287759415e-05,101.498997,132.166017,110.2148213,137.9765666,1,GS_High
7,65.1847778,1.671983187,0.929954383,28.19655654,0.285416019,0.292524584,7.538786471,65.2139656,1.641288667,27.71418054,0.029187795,0.864346148,136.3695556,134.4279312,145.0853799,140.2384807,0,GLN_Neutral
8,62.91119248,0.825832527,1.100124875,19.85453342,0.079637474,0.131334975,4.127978284,63.18979778,0.819648939,18.76411574,0.278605301,0.597616812,131.822385,130.3795956,140.5382093,136.1901451,0,GLN_Neutral
9,68.80790625,1.209084086,2.088956301,20.44622012,0.14391379,0.319713543,4.493561674,77.17317173,1.315864033,15.38456903,8.365265485,0.003824607,143.6158125,158.3463435,152.3316368,164.156893,1,LA_Low
18,82.82266111,1.0673148,1.868269965,8.169826634,0.272639766,0.51650801,2.659728136,85.16707069,1.075888575,7.316639995,2.344409579,0.125733192,171.6453222,174.3341414,180.3611466,180.1446909,0,GLN_Neutral
19,65.142188,0.848942267,2.171056207,18.27097829,0.088531211,0.241821,4.182604788,83.24766734,0.84087081,8.591535068,18.10547934,2.08999140447609e-05,136.284376,170.4953347,145.0002003,176.3058842,1,LA_Low
20,36.06649959,0.364862321,2.22044604925031e-16,9.075910552,0.188354783,0.26161037,3.898879116,57.53309756,0.606084122,14.85449323,21.46659797,3.60045921439923e-06,78.13299918,119.0661951,86.84882351,124.8767447,1,GS_High
21,72.78487657,0.770331276,2.22044604925031e-16,6.916145368,0.187298698,0.4246482,2.46374314,79.35155284,0.784724449,7.467334925,6.566676271,0.010390582,151.5697531,162.7031057,160.2855775,168.5136552,1,GS_High
22,42.53230071,0.733572062,2.602591848,28.23360004,0.060566697,0.245799633,6.249801355,85.46835597,0.311403608,4.078783389,42.93605526,5.65586144675452e-11,91.06460141,174.9367119,99.78042575,180.7472615,1,LA_Low
23,61.68466104,0.6598191,0.284706821,10.95976738,0.138145903,0.258110146,3.41624976,70.40013385,0.699820521,13.41708642,8.715472806,0.003155206,129.3693221,144.8002677,138.0851464,150.6108173,1,GS_High
24,49.22956255,0.943064623,0.727834319,29.30983775,0.067572751,0.113445567,5.583432382,52.46334913,0.932202014,30.30900131,3.233786576,0.072133721,104.4591251,108.9266983,113.1749494,114.7372478,0,GLN_Neutral
26,82.61031315,1.400291508,1.397666293,11.08472713,0.249958024,0.459137795,3.243032896,82.9999744,1.433579313,10.94723074,0.389661249,0.532477517,171.2206263,169.9999488,179.9364506,175.8104983,0,GLN_Neutral
27,73.22244613,1.210990126,0.393798102,14.74549745,0.172756145,0.271344113,3.638146394,76.63984912,1.15887662,14.25684914,3.417402981,0.064512426,152.4448923,157.2796982,161.1607166,163.0902478,0,GLN_Neutral
29,69.97484865,0.859990583,2.644300928,11.38249975,0.117705021,0.495216875,3.17174207,86.40869563,0.716099515,5.012688459,16.43384697,5.0377617623409e-05,145.9496973,176.8173913,154.6655216,182.6279408,1,LA_Low
30,57.35894319,1.360640074,2.389917223,33.4891569,0.141846181,0.343950119,6.936595498,71.63147785,1.463663338,20.88004676,14.27253466,0.000158156,120.7178864,147.2629557,129.4337107,153.0735053,1,LA_Low
31,45.71938462,0.820045401,1.053792794,35.42881385,0.054340212,0.086413738,6.987803878,45.90596797,0.815540941,33.90666264,0.186583344,0.665775616,97.43876924,95.81193593,106.1545936,101.6224855,0,GLN_Neutral
32,63.45833262,0.156017766,0.264884259,4.06524451,0.182882547,0.244169833,1.51008029,71.560764,0.352068438,6.456587639,8.102431382,0.004420592,132.9166652,147.121528,141.6324896,152.9320776,1,GS_High
34,36.05930817,1.505896311,0.122808202,54.98366017,0.145689269,0.209124554,13.92272507,58.05332582,1.428358373,33.66037924,21.99401765,2.73501624325919e-06,78.11861635,120.1066516,86.83444068,125.9172012,1,GS_High
35,55.95833468,0.971586777,1.470946203,31.63784191,0.068450461,0.128854854,6.085779105,62.29384695,0.960431886,22.69930046,6.335512269,0.011834393,117.9166694,128.5876939,126.6324937,134.3982434,1,LA_Low
36,76.6877923,1.381095571,0.622027695,13.27976697,0.208421397,0.321626145,3.494965726,77.42973745,1.332434504,12.87213897,0.741945149,0.389038489,159.3755846,158.8594749,168.0914089,164.6700245,0,GLN_Neutral
37,74.35151138,1.410427532,4.472769861,11.19004268,0.26205193,1.333082123,3.742287746,85.25233543,2,11.33597876,10.90082405,0.000961215,154.7030228,174.5046709,163.4188471,180.3152204,1,LA_Low
